Location,Model Name,PRICE
HOSUR UNIT1 main line,PRESTIGE POPULAR PRESSURE COOKER 1.5L,1065
HOSUR UNIT1 main line,PRESTIGE POPULAR PRESSURE COOKER 2.0L-TALL BODY,1125
HOSUR UNIT1 main line,PRESTIGE POPULAR PRESSURE COOKER 2.0L,1145
HOSUR UNIT1 main line,PRESTIGE POPULAR PRESSURE COOKER 3.0L,1350
HOSUR UNIT1 main line,PRESTIGE POPULAR ALUMINIUM PRESSURE COOKER 4L,1550
HOSUR UNIT1 main line,PRESTIGE POPULAR PRESSURE COOKER 5.0L ALUMINIUM,1850
HOSUR UNIT1 main line,PRESTIGE POPULAR PRESSURE COOKER 5.5L ALUMINIUM,2000
HOSUR UNIT1 main line,PRESTIGE POPULAR PRESSURE COOKER 6.0L ALUMINIUM,2075
HOSUR UNIT1 main line,PRESTIGE POPULAR PRESSURE COOKER 6.5L ALUMINIUM,2225
HOSUR UNIT1 main line,PRESTIGE POPULAR PRESSURE COOKER 7.5L ALUMINIUM,2550
HOSUR UNIT1 main line,PRESTIGE POPULAR PRESSURE COOKER 8.5L ALUMINIUM,2775
HOSUR UNIT1 main line,PRESTIGE POPULAR PRESSURE COOKER 10L ALUMINIUM,2990
HOSUR UNIT1 main line,PRESTIGE POPULAR PRESSURE COOKER 12L ALUMINIUM,3250
HOSUR UNIT1 main line,PRESTIGE POPULAR SENIOR DEEP PRESSURE PAN 6.0L ALUMINIUM,2290
HOSUR UNIT1 main line,PRESTIGE POPULAR JUNIOR DEEP PRESSURE PAN 4.1L,1850
HOSUR UNIT1 main line,PRESTIGE POPULAR JUNIOR DEEP PRESSURE PAN 4.1L ALUMINIUM,1850
HOSUR UNIT1 main line,PRESTIGE POPULAR PLUS PRESSURE COOKER 1.5L,1125
HOSUR UNIT1 main line,PRESTIGE POPULAR PLUS PRESSURE COOKER 2.0L-TALL BODY,1175
HOSUR UNIT1 main line,PRESTIGE POPULAR PLUS PRESSURE COOKER 2.0L,1250
HOSUR UNIT1 main line,PRESTIGE POPULAR PLUS PRESSURE COOKER 3.0L,1450
HOSUR UNIT1 main line,PRESTIGE POPULAR PLUS PRESSURE COOKER 4.0L,1650
HOSUR UNIT1 main line,PRESTIGE POPULAR PLUS PRESSURE COOKER 5.0L,1925
HOSUR UNIT1 main line,PRESTIGE POPULAR PLUS PRESSURE COOKER 5.5L,2100
HOSUR UNIT1 main line,PRESTIGE POPULAR PLUS PRESSURE COOKER 6.0L,2150
HOSUR UNIT1 main line,PRESTIGE POPULAR PLUS PRESSURE COOKER 6.5L,2325
HOSUR UNIT1 main line,PRESTIGE POPULAR PLUS PRESSURE COOKER 7.5L,2650
HOSUR UNIT1 main line,PRESTIGE POPULAR PLUS PRESSURE COOKER 8.5L,2875
HOSUR UNIT1 main line,PRESTIGE POPULAR PLUS PRESSURE COOKER 10L,3095
HOSUR UNIT1 main line,PRESTIGE POPULAR PLUS PRESSURE COOKER 12L,3350
HOSUR UNIT1 main line,PRESTIGE POPULAR PLUS SENIOR DEEP PRESSURE PAN 6.0L ALUMINIUM,2290
HOSUR UNIT1 main line,PRESTIGE DELUXE PLUS PRESSURE COOKER 3L,1650
HOSUR UNIT1 main line,PRESTIGE DELUXE PLUS PRESSURE COOKER 5L,2225
HOSUR UNIT1 main line,PRESTIGE DELUXE PLUS PRESSURE COOKER 7L,2625
HOSUR UNIT1 main line,PRESTIGE DELUXE PLUS ALUMINIUM PRESSURE COOKER 7.5L (POLISHED),2790
HOSUR UNIT1 main line,PRESTIGE DELUXE PLUS ALUMINIUM PRESSURE COOKER 10L (POLISHED),3275
HOSUR UNIT1 main line,PRESTIGE DELUXE PLUS ALUMINIUM PRESSURE COOKER 12L (POLISHED),3575
HOSUR UNIT1 main line,PRESTIGE DELUXE PLUS  SENIOR DEEP PRESSURE PAN 6L ALUMINIUM (POLISHED),2290
HOSUR UNIT1 main line,PRESTIGE DELUXE PLUS ALUMINIUM SENIOR DEEP PRESSURE PAN 6L(POLISHED),2525
HOSUR UNIT1 main line,PRESTIGE DELUXE PRO ALUMINIUM PRESSURE COOKER 5.0L,1650
HOSUR UNIT1 main line,PRESTIGE DELUXE PRO ALUMINIUM JUNIOR DEEP PRESSURE PAN 3.5L,2225
HOSUR UNIT1 main line,PRESTIGE DELUXE ALPHA STAINLESS STEEL PRESSURE COOKER 2L,2150
Coimbatore assembly line 1,PRESTIGE POPULAR 1.5 LTR POPULAR,1065
Coimbatore assembly line 1,PRESTIGE POPULAR PRESSURE COOKER 2.0L-TALL BODY,1125
Coimbatore assembly line 1,PRESTIGE POPULAR PRESSURE COOKER 2L,1145
Coimbatore assembly line 1,PRESTIGE POPULAR ALUMINIUM PRESSURE COOKER 3L,1350
Coimbatore assembly line 1,PRESTIGE POPULAR ALUMINIUM PRESSURE COOKER 4L,1550
Coimbatore assembly line 1,PRESTIGE POPULAR PRESSURE COOKER 5.0L,1850
Coimbatore assembly line 1,PRESTIGE POPULAR PRESSURE COOKER 5.5L,2000
Coimbatore assembly line 1,PRESTIGE POPULAR PRESSURE COOKER 6.0L,2075
Coimbatore assembly line 1,PRESTIGE POPULAR PRESSURE COOKER 6.5L,2225
Coimbatore assembly line 1,PRESTIGE POPULAR PRESSURE COOKER 7.5L,2550
Coimbatore assembly line 1,PRESTIGE POPULAR PRESSURE COOKER 8.5L,2775
Coimbatore assembly line 1,PRESTIGE POPULAR PRESSURE COOKER 10L,2990
Coimbatore assembly line 1,PRESTIGE POPULAR PRESSURE COOKER 12L,3250
Coimbatore assembly line 1,PRESTIGE POPULAR SENIOR DEEP PRESSURE PAN 6.0L,2290
Coimbatore assembly line 1,PRESTIGE POPULAR STAINLESS STEEL PRESSURE COOKER 2L,1725
Coimbatore assembly line 1,PRESTIGE POPULAR STAINLESS STEEL PRESSURE COOKER 3L,1975
Coimbatore assembly line 1,PRESTIGE POPULAR STAINLESS STEEL PRESSURE COOKER 5L,2595
Coimbatore assembly line 1,PRESTIGE POPULAR JDPP,1850
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 1.5L,1125
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 2.0L-TALL BODY,1175
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 2.0L,1250
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 3.0L,1450
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 4.0L,1650
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 5.0L,1925
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 5.5L,2100
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 6.0L,2150
Coimbatore assembly line 1,PRESTIGE POPULAR PLUS PRESSURE COOKER 6.5L,2325
